Report_Date_as_MM_DD_YYYY,Market_and_Exchange_Names,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All
2022-01-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14951,6734,7019,9019,8858,15340
2022-01-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14549,9417,9187,9649,8084,11470
2022-01-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14850,9892,10273,10691,8210,12644
2022-01-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14605,11035,12293,9536,8385,14415
2022-02-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,13298,12071,8756,10431,13839,8841
2022-02-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12760,12661,10639,9971,12517,9224
2022-02-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12673,12123,11673,10670,12256,8354
2022-02-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12921,13427,11333,11571,13978,10736
2022-03-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,13335,12818,10905,9124,14731,10491
2022-03-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12158,12480,12359,9221,13234,11886
2022-03-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,11692,12610,10761,10180,12932,8354
2022-03-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,12652,9799,6209,14098,13691,3209
2022-03-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14160,9043,6287,17232,14703,2967
2022-04-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15413,7983,7527,18588,13621,4840
2022-04-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14410,8826,9428,15036,11462,7372
2022-04-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15277,8881,9495,14402,11453,8614
2022-04-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14372,9779,9707,11979,10566,9225
2022-05-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14406,9624,9949,10964,9319,9598
2022-05-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14304,11991,12361,10439,10276,10965
2022-05-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14937,12537,11003,10598,10222,10136
2022-05-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15586,12910,10377,13270,12515,9898
2022-05-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16956,12515,9648,16021,14507,9245
2022-06-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15809,11500,10306,17384,15218,8552
2022-06-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15636,12609,12313,16200,12927,9021
2022-06-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15907,12733,10512,13316,7782,6921
2022-06-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16383,12236,11312,15110,9404,8493
2022-07-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15836,14048,11469,14653,11404,8944
2022-07-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16832,13543,10672,16486,11467,6239
2022-07-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16588,13703,10912,16034,11533,6773
2022-07-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,18059,13387,10300,17658,11795,7761
2022-08-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17539,12826,10546,17845,12498,5730
2022-08-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17779,10189,9016,19880,13387,4467
2022-08-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,19972,10045,8841,20971,13098,3425
2022-08-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,18783,10882,10020,18068,11654,6175
2022-08-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17450,12452,10135,17752,12962,4150
2022-09-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16018,14584,12368,19339,15570,3672
2022-09-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15068,13275,10602,20210,18517,2124
2022-09-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14847,14871,9269,17441,19672,2497
2022-09-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14827,16966,10257,16662,19598,1695
2022-10-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14298,16937,10125,14127,17524,1997
2022-10-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15798,16511,11596,15564,15756,2443
2022-10-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15709,15736,11625,14287,14661,3735
2022-10-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16240,14744,11907,18560,15776,3490
2022-11-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15761,13952,11833,18226,16365,3580
2022-11-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15426,13750,11000,17821,15444,3499
2022-11-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16041,11293,10109,17697,14051,6556
2022-11-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15687,11514,9731,15200,12488,6546
2022-11-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15341,12178,9532,15628,13419,6485
2022-12-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16136,12071,9098,15527,12539,6691
2022-12-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16130,12201,8885,15039,12814,6989
2022-12-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15932,13732,10942,12559,10761,8597
2022-12-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15542,13665,11098,14159,11424,7975
2023-01-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14812,13663,11721,12084,9946,8282
2023-01-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16007,12516,11626,14082,11480,9262
2023-01-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17126,11496,12546,16141,13417,9099
2023-01-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17631,10414,11607,17469,13629,8752
2023-01-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17864,10258,12323,17989,14603,9722
2023-02-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,17658,7878,13475,21268,14376,10392
2023-02-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16666,7471,11796,20966,15729,8547
2023-02-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15121,8426,11660,18627,15171,8014
2023-02-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14796,9959,11732,17971,15349,7381
2023-03-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14293,9442,11958,17529,14032,6392
2023-03-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14787,10776,13031,14237,12338,6203
2023-03-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14981,10112,8682,14768,8688,3693
2023-03-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,14944,10080,8215,16394,9385,3680
2023-04-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,13827,7293,9229,18097,8456,5668
2023-04-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15919,7868,9744,16986,8120,7507
2023-04-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,16242,8519,10914,17239,8295,7517
2023-04-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,15845,7615,10320,17518,8084,8381
2023-05-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,82084,38832,49705,84041,35815,40996
2023-05-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,82954,38373,56149,85997,34203,44576
2023-05-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,89061,37925,64723,92432,40625,51425
2023-05-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,91039,32184,64908,98840,42636,55579
2023-05-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93537,28824,70386,110343,43679,60478
2023-06-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95470,23056,73478,111628,42327,67824
2023-06-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92653,21853,61041,101170,47592,58001
2023-06-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93134,25816,53986,69993,37045,73875
2023-06-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,90580,25455,50148,75344,40739,72336
2023-07-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,91364,28692,44081,76610,36736,65149
2023-07-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92160,28126,43740,80417,39746,67877
2023-07-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96423,24979,46820,76385,37533,75492
2023-07-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,94940,30870,39912,79516,44688,72557
2023-08-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95911,30754,40282,93951,47696,61185
2023-08-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93838,27319,37985,97053,52803,62768
2023-08-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,91705,28830,38954,77535,51410,67762
2023-08-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,85062,29046,39913,71641,49997,61932
2023-08-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88079,24041,42975,71368,51955,62759
2023-09-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,86894,25186,46239,74642,57637,62500
2023-09-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,81382,30425,39088,71672,52776,57159
2023-09-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,87878,19446,44866,65435,41754,72958
2023-09-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,84713,25951,38317,70025,44823,66683
2023-10-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,81523,32354,42786,65548,47027,70150
2023-10-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,83343,26688,43065,60022,47529,75965
2023-10-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,84789,23022,45499,57301,44161,80399
2023-10-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,86158,24870,45162,58236,50946,74949
2023-10-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,80381,34446,46983,55445,59618,72290
2023-11-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88577,23030,62112,46464,49653,86324
2023-11-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101016,16433,46765,45174,46759,100323
2023-11-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110056,16983,45606,48468,49488,110707
2023-11-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111623,15948,49655,44636,52741,120104
2023-12-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107624,17805,47537,67228,53836,108350
2023-12-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,99939,18643,56010,89780,59248,97991
2023-12-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109481,20143,45363,88183,58391,105451
2023-12-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,110383,19524,47464,90354,57560,107420
2024-01-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,115882,26698,44770,80633,48282,106272
2024-01-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,114427,26088,47469,84084,48810,102282
2024-01-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112408,26545,50162,83623,47963,97953
2024-01-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,118140,23690,53148,87486,53686,115403
2024-01-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,122771,25136,54341,79659,51195,126850
2024-02-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,120796,24425,47476,79344,47010,118102
2024-02-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,121486,21449,53128,87885,47378,120895
2024-02-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,118017,22397,49608,82696,45414,111057
2024-02-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,116179,22552,49455,94466,45145,102513
2024-03-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108185,25727,41526,97378,54117,91144
2024-03-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108217,24812,46013,109481,51833,81747
2024-03-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108302,20817,54966,92548,28656,73691
2024-03-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107062,23599,54213,101253,37296,78052
2024-04-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,106294,23451,51623,96996,37932,78292
2024-04-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108344,17696,50428,92609,36415,83345
2024-04-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107827,18862,46479,97910,31033,72173
2024-04-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104460,20794,47218,93100,30319,75567
2024-04-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97023,22596,45784,99667,33231,66174
2024-05-07,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,99428,18613,43005,90022,28954,61583
2024-05-14,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100524,18175,43412,96704,37825,64692
2024-05-21,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104981,18975,42446,80283,32357,71069
2024-05-28,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,111197,19404,40368,83318,32170,77868
2024-06-04,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,107990,22693,35637,72022,31589,73264
2024-06-11,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104676,22514,36933,81315,45391,73491
2024-06-18,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101271,24897,42957,97628,36581,65009
2024-06-25,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,109006,21066,43263,82764,27551,83332
2024-07-02,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,108399,23153,46649,88234,28162,90090
2024-07-09,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,112601,25680,42359,88166,32578,92934
2024-07-16,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,113066,24887,40926,83128,24410,91233
2024-07-23,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,104036,28175,40321,73462,19266,88062
2024-07-30,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,102725,30397,39401,72051,18720,97648
2024-08-06,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96816,26567,35253,69017,17079,104893
2024-08-13,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95751,24906,27875,72364,20372,94697
2024-08-20,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,95896,24908,27006,82930,28551,84382
2024-08-27,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,96045,22930,27296,75398,27872,96061
2024-09-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,88752,22064,27312,75487,30842,100986
2024-09-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,82379,24075,33363,68006,29751,103030
2024-09-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,77175,22998,22907,76810,32127,95524
2024-09-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,85948,21153,25587,73295,33745,92424
2024-10-01,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,92181,23223,23226,75739,35602,90131
2024-10-08,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,94535,22556,31029,86879,35668,90005
2024-10-15,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93380,24445,26751,84810,41398,84552
2024-10-22,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93426,23931,31280,81097,50022,91647
2024-10-29,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93505,24107,40570,84572,46230,98981
2024-11-05,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93663,26153,36237,77250,44564,103964
2024-11-12,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,101905,24807,37924,87176,47468,111541
2024-11-19,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100791,23470,32771,74914,49320,122999
2024-11-26,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,100964,24737,32672,80451,54340,121639
2024-12-03,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,103987,24551,39670,92154,55461,125601
2024-12-10,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,102890,23160,40332,89319,47087,126092
2024-12-17,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,98029,26080,40566,96594,43740,115825
2024-12-24,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,93874,28200,36361,79617,29664,99136
2024-12-31,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,97433,28566,40710,73148,29954,114417
