date,weekday,direction,result,pnl_pts,vxn,cot_idx,uptrend
2024-03-25,Lunes,BUY,FLAT,11.0,17.1,51.2,True
2024-03-26,Martes,SELL,FLAT,27.8,16.6,37.6,True
2024-03-27,Miércoles,SELL,LOSS,-33.5,16.7,37.6,True
2024-04-17,Miércoles,SELL,LOSS,-9.1,21.6,36.6,False
2024-05-02,Jueves,SELL,WIN,68.5,17.4,14.0,True
2024-06-10,Lunes,BUY,WIN,59.0,15.8,44.5,True
2024-06-18,Martes,SELL,WIN,40.8,0.0,15.3,True
2024-07-01,Lunes,BUY,LOSS,-38.3,16.1,44.0,True
2024-07-10,Miércoles,SELL,FLAT,-47.2,17.9,36.1,True
2024-07-23,Martes,SELL,LOSS,-80.3,23.1,37.8,False
2024-07-30,Martes,SELL,LOSS,-36.7,22.3,34.6,True
2024-08-07,Miércoles,SELL,LOSS,-29.9,26.9,22.0,False
2024-08-19,Lunes,BUY,WIN,85.0,21.1,9.7,True
2024-08-22,Jueves,SELL,WIN,53.5,21.1,0.0,True
2024-09-04,Miércoles,SELL,LOSS,-32.8,23.5,4.0,False
2024-09-17,Martes,SELL,LOSS,-97.5,22.7,0.0,True
2024-09-30,Lunes,BUY,WIN,101.2,21.7,16.7,False
2024-10-01,Martes,SELL,WIN,75.0,21.4,16.1,False
2024-10-03,Jueves,SELL,LOSS,-29.2,21.6,16.1,True
2024-10-07,Lunes,BUY,FLAT,17.8,23.6,16.1,True
2024-10-09,Miércoles,SELL,LOSS,-53.6,23.6,15.8,True
2024-10-17,Jueves,SELL,LOSS,-112.1,21.8,10.6,True
2024-10-21,Lunes,BUY,WIN,58.0,22.0,10.6,True
2024-11-26,Martes,SELL,LOSS,-40.0,16.7,39.1,True
2024-12-05,Jueves,SELL,LOSS,-23.1,15.1,37.0,True
2024-12-19,Jueves,SELL,FLAT,16.0,21.5,21.7,False
2024-12-23,Lunes,BUY,LOSS,-157.3,17.0,21.7,True
2025-01-07,Martes,SELL,LOSS,-17.5,20.7,34.2,False
2025-01-09,Jueves,SELL,FLAT,27.8,21.7,34.2,False
2025-01-21,Martes,SELL,WIN,93.5,18.7,27.9,True
2025-01-27,Lunes,BUY,FLAT,16.0,20.3,27.9,True
2025-01-28,Martes,SELL,WIN,152.2,20.6,13.4,False
2025-02-20,Jueves,SELL,WIN,44.5,21.0,0.0,False
2025-03-11,Martes,SELL,WIN,116.8,26.8,71.0,False
2025-03-12,Miércoles,SELL,FLAT,-149.5,27.6,71.0,False
2025-03-13,Jueves,SELL,WIN,144.0,25.8,71.0,False
2025-03-19,Miércoles,SELL,LOSS,-37.4,23.4,52.7,True
2025-04-16,Miércoles,SELL,FLAT,95.2,32.8,39.3,True
2025-05-01,Jueves,SELL,WIN,75.2,25.7,3.9,True
2025-05-05,Lunes,BUY,WIN,81.8,27.1,3.9,True
2025-05-08,Jueves,SELL,WIN,73.8,25.5,0.0,True
2025-06-18,Miércoles,SELL,WIN,83.5,0.0,35.9,True
2025-07-10,Jueves,SELL,WIN,45.5,19.0,100.0,True
2025-07-15,Martes,SELL,LOSS,-49.4,19.5,97.2,True
2025-07-16,Miércoles,SELL,WIN,116.0,18.7,97.2,True
2025-07-29,Martes,SELL,LOSS,-19.5,17.3,100.0,True
2025-08-07,Jueves,SELL,FLAT,15.8,17.3,100.0,True
2025-08-11,Lunes,BUY,WIN,71.0,16.8,100.0,True
2025-08-12,Martes,SELL,LOSS,-189.2,16.7,100.0,True
2025-08-13,Miércoles,SELL,WIN,56.8,17.1,100.0,True
2025-08-19,Martes,SELL,WIN,41.5,20.0,95.9,False
2025-08-20,Miércoles,SELL,WIN,95.8,20.5,95.9,False
2025-08-26,Martes,SELL,LOSS,-27.6,18.7,97.8,True
2025-08-28,Jueves,SELL,LOSS,-34.5,19.1,97.8,False
2025-09-03,Miércoles,SELL,LOSS,-98.5,18.8,89.0,True
2025-09-04,Jueves,SELL,LOSS,-41.9,18.4,89.0,True
2025-09-16,Martes,SELL,WIN,283.2,19.0,89.0,True
2025-09-18,Jueves,SELL,LOSS,-119.6,18.7,89.0,True
2025-09-24,Miércoles,SELL,WIN,61.5,20.5,83.6,True
2025-10-01,Miércoles,SELL,LOSS,-30.2,20.0,100.0,True
2025-10-02,Jueves,SELL,WIN,37.0,20.1,100.0,True
2025-10-08,Miércoles,SELL,LOSS,-22.8,20.0,97.8,True
2025-10-15,Miércoles,SELL,LOSS,-128.7,28.3,96.7,False
2025-10-16,Jueves,SELL,LOSS,-56.9,25.0,96.7,True
2025-10-29,Miércoles,SELL,LOSS,-13.7,21.7,100.0,True
2025-11-06,Jueves,SELL,WIN,107.2,24.6,98.3,False
2025-11-12,Miércoles,SELL,WIN,95.5,25.9,99.2,False
2025-11-18,Martes,SELL,WIN,253.2,29.3,93.0,False
2025-11-19,Miércoles,SELL,LOSS,-105.6,32.7,93.0,False
2025-12-02,Martes,SELL,LOSS,-114.4,20.6,77.6,True
2025-12-04,Jueves,SELL,LOSS,-29.6,19.6,77.6,True
2025-12-11,Jueves,SELL,WIN,73.5,20.6,63.0,False
2025-12-16,Martes,SELL,FLAT,-123.8,21.8,74.0,False
2025-12-17,Miércoles,SELL,WIN,375.2,20.7,74.0,False
2025-12-29,Lunes,BUY,FLAT,-36.5,19.0,79.7,True
2025-12-30,Martes,SELL,LOSS,-5.5,19.6,75.2,False
2025-12-31,Miércoles,SELL,WIN,73.8,0.0,75.2,True
2026-01-08,Jueves,SELL,WIN,135.2,19.1,82.4,True
2026-01-22,Jueves,SELL,FLAT,37.8,20.4,69.4,True
2026-01-27,Martes,SELL,LOSS,-19.2,20.4,79.8,True
2026-02-10,Martes,SELL,WIN,75.2,23.3,76.0,False
2026-02-12,Jueves,SELL,WIN,77.2,26.4,76.0,False
2026-02-18,Miércoles,SELL,WIN,114.0,25.6,74.5,False
2026-02-24,Martes,SELL,LOSS,-20.5,22.9,64.1,True
2026-02-26,Jueves,SELL,WIN,108.8,24.5,64.1,True
2026-03-05,Jueves,SELL,WIN,131.0,31.4,55.5,False
2026-03-10,Martes,SELL,LOSS,-96.2,26.8,55.5,True
2026-03-12,Jueves,SELL,WIN,162.5,29.9,55.5,False
